Country;Human Development Index (HDI) ;Life expectancy at birth;Expected years of schooling;Mean years of schooling;Gross national income (GNI) per capita (2021 PPP $)
Costa Rica;0.833;80.8;16.3;8.8;23.417
Serbia;0.833;76.8;15.0;11.6;23.115
Russian Federation;0.832;73.2;13.2;12.4;39.222
Belarus;0.824;74.4;13.7;12.3;26.725
Bahamas;0.820;74.6;11.9;12.8;30.975
Malaysia;0.819;76.7;12.7;11.1;32.553
North Macedonia;0.815;77.4;14.8;10.2;22.128
Armenia;0.811;75.7;14.4;11.3;20.221
Barbados;0.811;76.2;16.6;9.9;17.328
Albania;0.810;79.6;14.5;10.2;17.627
Trinidad and Tobago;0.807;73.5;14.2;10.8;27.000
Mauritius;0.806;74.9;14.2;10.1;27.280
Bosnia and Herzegovina;0.804;77.9;13.2;11.0;19.827
Iran (Islamic Republic of);0.799;77.7;14.0;10.8;16.096
Saint Vincent and the Grenadines;0.798;71.2;16.3;11.3;17.247
Thailand;0.798;76.4;15.4;9.0;20.570
China;0.797;78.0;15.5;8.0;22.029
Peru;0.794;77.7;14.9;10.2;14.339
Grenada;0.791;75.2;16.6;9.4;14.349
Azerbaijan;0.789;74.4;12.9;11.1;20.668
Mexico;0.789;75.1;14.5;9.3;21.813
Colombia;0.788;77.7;14.3;9.0;18.666
Brazil;0.786;75.8;15.8;8.4;18.011
Palau;0.786;69.3;14.1;13.3;16.035
Moldova (Republic of);0.785;71.2;14.6;11.8;15.867
Ukraine;0.779;73.4;13.3;11.1;16.933
Ecuador;0.777;77.4;14.9;9.0;13.986
Dominican Republic;0.776;73.7;13.6;9.4;22.024
Guyana;0.776;70.2;13.0;8.7;46.959
Sri Lanka;0.776;77.5;13.1;10.8;12.616
Tonga;0.769;72.9;17.8;10.9;7.438
Maldives;0.766;81.0;12.8;7.4;19.317
Viet Nam;0.766;74.6;15.5;9.0;13.033
Turkmenistan;0.764;70.1;13.2;11.2;17.716
Algeria;0.763;76.3;15.5;7.4;15.114
Cuba;0.762;78.1;13.9;10.6;8.415
Dominica;0.761;71.1;14.2;10.1;16.001
Paraguay;0.756;73.8;14.0;8.9;15.252
Egypt;0.754;71.6;13.1;10.1;16.218
Jordan;0.754;77.8;13.1;10.2;9.222
Lebanon;0.752;77.8;11.7;10.4;11.299
Saint Lucia;0.748;72.7;12.7;8.6;20.900
Mongolia;0.747;71.7;13.6;9.4;14.787
Tunisia;0.746;76.5;14.7;7.6;12.011
South Africa;0.741;66.1;13.8;11.6;13.694
Uzbekistan;0.740;72.4;12.5;11.9;8.826
Bolivia (Plurinational State of);0.733;68.6;15.6;10.0;9.445
Gabon;0.733;68.3;12.5;9.7;18.854
Marshall Islands;0.733;66.9;16.4;11.6;7.224
Botswana;0.731;69.2;11.4;10.5;16.984
Fiji;0.731;67.3;13.8;10.4;12.843
Indonesia;0.728;71.1;13.3;8.7;13.700
Suriname;0.722;73.6;11.0;8.4;17.344
Belize;0.721;73.6;12.0;8.8;12.343
Libya;0.721;69.3;12.9;7.8;19.831
Jamaica;0.720;71.5;12.4;10.0;10.057
Kyrgyzstan;0.720;71.7;12.7;12.1;6.078
Philippines;0.720;69.8;12.8;10.0;10.731
Morocco;0.710;75.3;15.1;6.2;8.653
Venezuela (Bolivarian Republic of);0.709;72.5;13.0;9.7;7.157
Samoa;0.708;71.7;12.4;11.3;5.952
Nicaragua;0.706;74.9;11.5;9.9;6.881
Nauru;0.703;62.1;12.8;9.4;19.642
Bhutan;0.698;73.0;13.2;5.8;13.843
Eswatini (Kingdom of);0.695;64.1;15.2;8.7;9.919
Iraq;0.695;72.3;12.4;6.8;12.654
Tajikistan;0.691;71.8;10.8;11.3;5.747
Tuvalu;0.689;67.1;12.4;10.8;7.006
Bangladesh;0.685;74.7;12.3;6.8;8.498
India;0.685;72.0;13.0;6.9;9.047
El Salvador;0.678;72.1;11.1;7.3;10.595
Equatorial Guinea;0.674;63.7;12.5;8.3;12.762
Palestine, State of;0.674;65.2;13.0;10.1;6.547
Cabo Verde;0.668;76.1;11.4;6.1;8.165
Namibia;0.665;67.4;11.8;7.3;10.917
Guatemala;0.662;72.6;10.7;5.8;12.459
Congo;0.649;65.8;12.7;8.3;5.903
Honduras;0.645;72.9;10.2;7.5;6.065
Kiribati;0.644;66.5;11.9;9.1;4.947
Sao Tome and Principe;0.637;69.7;12.9;6.0;5.583
Timor-Leste;0.634;67.7;13.3;6.2;5.435
Ghana;0.628;65.5;11.4;7.1;6.846
Kenya;0.628;63.6;11.5;8.6;5.608
Nepal;0.622;70.4;13.8;4.5;4.726
Vanuatu;0.621;71.5;11.8;7.2;3.404
Lao People's Democratic Republic;0.617;69.0;9.6;6.1;8.106
Angola;0.616;64.6;12.2;6.0;6.631
Micronesia (Federated States of);0.615;67.2;11.5;7.3;4.246
Myanmar;0.609;66.9;11.5;6.4;4.919
Cambodia;0.606;70.7;11.2;5.2;4.931
Comoros;0.603;66.8;13.3;6.0;3.481
Zimbabwe;0.598;62.8;11.1;8.9;3.511
Zambia;0.595;66.3;11.0;7.4;3.447
Cameroon;0.588;63.7;10.8;6.6;4.746
Solomon Islands;0.584;70.5;11.3;5.9;2.777
Côte d'Ivoire;0.582;61.9;11.4;4.9;6.735
Uganda;0.582;68.3;11.6;6.3;2.736
Rwanda;0.578;67.8;12.6;4.9;2.971
Papua New Guinea;0.576;66.1;11.5;5.0;3.971
Togo;0.571;62.7;13.1;5.9;2.856
Syrian Arab Republic;0.564;72.1;7.4;5.9;3.918
Mauritania;0.563;68.5;7.9;4.9;6.267
Nigeria;0.560;54.5;10.5;7.6;5.569
Tanzania (United Republic of);0.555;67.0;8.6;6.1;3.515
Haiti;0.554;64.9;10.9;5.4;2.935
Lesotho;0.550;57.4;11.0;7.7;3.029
Pakistan;0.544;67.6;7.9;4.3;5.501
Senegal;0.530;68.7;9.1;2.9;4.202
Gambia;0.524;65.9;9.0;4.7;2.812
Congo (Democratic Republic of the);0.522;61.9;10.9;7.4;1.431
Malawi;0.517;67.4;9.9;5.2;1.634
Benin;0.515;60.8;10.4;3.2;3.806
Guinea-Bissau;0.514;64.1;10.6;3.7;2.403
Djibouti;0.513;66.0;6.2;4.0;6.368
Sudan;0.511;66.3;8.6;4.0;2.810
Liberia;0.510;62.2;10.5;6.2;1.538
Eritrea;0.503;68.6;7.3;5.1;2.029
Guinea;0.500;60.7;10.4;2.5;3.494
Ethiopia;0.497;67.3;9.2;2.4;2.796
Afghanistan;0.496;66.0;10.8;2.5;1.972
Mozambique;0.493;63.6;10.8;4.6;1.356
Madagascar;0.487;63.6;9.1;4.6;1.656
Yemen;0.470;69.3;7.5;5.5;1.018
Sierra Leone;0.467;61.8;9.1;3.5;1.714
Burkina Faso;0.459;61.1;8.7;2.3;2.391
Burundi;0.439;63.7;9.8;3.5;859
Mali;0.419;60.4;7.0;1.6;2.342
Niger;0.419;61.2;8.3;1.4;1.590
Chad;0.416;55.1;8.3;2.3;1.748
Central African Republic;0.414;57.4;7.4;4.0;1.100
Somalia;0.404;58.8;7.5;1.9;1.475
South Sudan;0.388;57.6;5.6;5.7;688
Arab States;0.719;72.5;12.0;8.1;15.825
East Asia and the Pacific;0.775;75.9;14.6;8.3;19.520
Europe and Central Asia;0.818;74.8;15.6;10.7;23.171
Latin America and the Caribbean;0.783;75.6;14.8;9.1;18.048
South Asia;0.672;71.9;12.1;6.8;8.722
Sub-Saharan Africa;0.568;62.5;10.3;6.2;4.352
